text,activation,valence,quadrant
I'm feeling at peace and my muscles are loose,baja,positiva,baja_positiva
I'm feeling at peace and my mind is at peace,baja,positiva,baja_positiva
I feel total peace right now,baja,positiva,baja_positiva
I swear that I feel an immense calmness,baja,positiva,baja_positiva
lately my breathing is slow and steady,baja,positiva,baja_positiva
I'm feeling breathing deeply and I'm enjoying the silence,baja,positiva,baja_positiva
I feel like a new person absolutely,baja,positiva,baja_positiva
I swear that I'm in my happy place,baja,positiva,baja_positiva
I feel at peace and I'm enjoying the silence,baja,positiva,baja_positiva
I feel an immense calmness just because,baja,positiva,baja_positiva
I am at peace and everything is flowing smoothly,baja,positiva,baja_positiva
I'm floating at this moment,baja,positiva,baja_positiva
my body feels light today,baja,positiva,baja_positiva
I'm floating just because,baja,positiva,baja_positiva
literally I'm in my happy place,baja,positiva,baja_positiva
I am at peace and I'm enjoying the silence,baja,positiva,baja_positiva
lately I'm floating,baja,positiva,baja_positiva
I am serene and my mind is at peace,baja,positiva,baja_positiva
I'm feeling calm and everything is flowing smoothly,baja,positiva,baja_positiva
I'm completely centered absolutely,baja,positiva,baja_positiva
lately I'm in my happy place,baja,positiva,baja_positiva
I feel at peace and my muscles are loose,baja,positiva,baja_positiva
I swear that I feel like a new person,baja,positiva,baja_positiva
I am calm and my mind is at peace,baja,positiva,baja_positiva
my breathing is slow and steady at this moment,baja,positiva,baja_positiva
literally I feel an immense calmness,baja,positiva,baja_positiva
honestly I feel super chill,baja,positiva,baja_positiva
I'm floating right now,baja,positiva,baja_positiva
I'm in zen mode absolutely,baja,positiva,baja_positiva
my body feels light just because,baja,positiva,baja_positiva
I feel very relaxed and my mind is at peace,baja,positiva,baja_positiva
I swear that I feel super chill,baja,positiva,baja_positiva
literally I'm in zen mode,baja,positiva,baja_positiva
I am in harmony and my muscles are loose,baja,positiva,baja_positiva
honestly I feel like a new person,baja,positiva,baja_positiva
the truth is my breathing is slow and steady,baja,positiva,baja_positiva
I'm feeling at peace and everything is flowing smoothly,baja,positiva,baja_positiva
I swear that I'm completely centered,baja,positiva,baja_positiva
I feel in harmony and my mind is at peace,baja,positiva,baja_positiva
I'm feeling at peace and I'm enjoying the silence,baja,positiva,baja_positiva
I feel breathing deeply and my muscles are loose,baja,positiva,baja_positiva
I am serene and my muscles are loose,baja,positiva,baja_positiva
I feel calm and I'm enjoying the silence,baja,positiva,baja_positiva
honestly I'm floating,baja,positiva,baja_positiva
I feel calm and everything is flowing smoothly,baja,positiva,baja_positiva
literally my breathing is slow and steady,baja,positiva,baja_positiva
the truth is I'm in zen mode,baja,positiva,baja_positiva
my body feels light at this moment,baja,positiva,baja_positiva
literally I'm completely centered,baja,positiva,baja_positiva
I feel serene and my muscles are loose,baja,positiva,baja_positiva
I am breathing deeply and everything is flowing smoothly,baja,positiva,baja_positiva
I'm feeling calm and I'm enjoying the silence,baja,positiva,baja_positiva
literally I'm floating,baja,positiva,baja_positiva
honestly I feel total peace,baja,positiva,baja_positiva
I'm feeling in harmony and my muscles are loose,baja,positiva,baja_positiva
my breathing is slow and steady today,baja,positiva,baja_positiva
the truth is I feel super chill,baja,positiva,baja_positiva
honestly I feel an immense calmness,baja,positiva,baja_positiva
I am very relaxed and my muscles are loose,baja,positiva,baja_positiva
I feel in harmony and I'm enjoying the silence,baja,positiva,baja_positiva
I feel calm and my muscles are loose,baja,positiva,baja_positiva
I swear that I feel total peace,baja,positiva,baja_positiva
I swear that my body feels light,baja,positiva,baja_positiva
the truth is I'm in my happy place,baja,positiva,baja_positiva
lately I feel like a new person,baja,positiva,baja_positiva
I feel total peace just because,baja,positiva,baja_positiva
I feel an immense calmness right now,baja,positiva,baja_positiva
my breathing is slow and steady,baja,positiva,baja_positiva
I feel an immense calmness,baja,positiva,baja_positiva
I feel like a new person completely,baja,positiva,baja_positiva
lately I feel an immense calmness,baja,positiva,baja_positiva
I am breathing deeply and my muscles are loose,baja,positiva,baja_positiva
I'm in my happy place absolutely,baja,positiva,baja_positiva
I feel very relaxed and I'm enjoying the silence,baja,positiva,baja_positiva
I swear that I'm floating,baja,positiva,baja_positiva
I feel super chill really,baja,positiva,baja_positiva
I feel in harmony and my muscles are loose,baja,positiva,baja_positiva
I feel total peace,baja,positiva,baja_positiva
I'm feeling very relaxed and my muscles are loose,baja,positiva,baja_positiva
I'm in zen mode completely,baja,positiva,baja_positiva
my breathing is slow and steady right now,baja,positiva,baja_positiva
I'm in my happy place completely,baja,positiva,baja_positiva
lately my body feels light,baja,positiva,baja_positiva
honestly I'm in my happy place,baja,positiva,baja_positiva
I'm feeling serene and my mind is at peace,baja,positiva,baja_positiva
I'm floating today,baja,positiva,baja_positiva
I'm completely centered really,baja,positiva,baja_positiva
the truth is I feel like a new person,baja,positiva,baja_positiva
I feel super chill completely,baja,positiva,baja_positiva
honestly my body feels light,baja,positiva,baja_positiva
I feel like a new person,baja,positiva,baja_positiva
I feel breathing deeply and everything is flowing smoothly,baja,positiva,baja_positiva
I'm feeling breathing deeply and my mind is at peace,baja,positiva,baja_positiva
I'm feeling serene and I'm enjoying the silence,baja,positiva,baja_positiva
my nerves are on edge and I feel completely raw,alta,negativa,alta_negativa
I am proper wound up and about to snap at anyone,alta,negativa,alta_negativa
I am at the end of my tether with all this stress,alta,negativa,alta_negativa
I am tearing my hair out with frustration and anger,alta,negativa,alta_negativa
I am bricking it with anxiety and dread,alta,negativa,alta_negativa
I am feeling so touchy and raw today,alta,negativa,alta_negativa
raw emotions are overwhelming me right now,alta,negativa,alta_negativa
my emotions are running wild and I am on edge,alta,negativa,alta_negativa
I am at my wits end and completely panicked,alta,negativa,alta_negativa
my heart is in my mouth with intense fear,alta,negativa,alta_negativa
I feel so exposed and easily triggered right now,alta,negativa,alta_negativa
I am losing my rag and boiling with frustration,alta,negativa,alta_negativa
my nerves are shredded and my chest feels tight,alta,negativa,alta_negativa
everything is grating on me and I feel like screaming,alta,negativa,alta_negativa
I am so strung out and emotionally volatile,alta,negativa,alta_negativa
I am feeling down in the dumps today and cannot focus,baja,negativa,baja_negativa
I am gutted and so disappointed by the outcome,baja,negativa,baja_negativa
I am proper knackered with zero energy left,baja,negativa,baja_negativa
I am dead on my feet and feeling completely hollow,baja,negativa,baja_negativa
feeling blue and unable to find joy in anything,baja,negativa,baja_negativa
a void of emotions has left me utterly drained,baja,negativa,baja_negativa
cannot be bothered with anything today just want to sleep,baja,negativa,baja_negativa
I am in a total slump and feeling defeated,baja,negativa,baja_negativa
properly worn out and sad about everything,baja,negativa,baja_negativa
feeling heavy desolate and completely exhausted,baja,negativa,baja_negativa
I am absolutely buzzing with excitement and joy,alta,positiva,alta_positiva
I am chuffed to bits with the fantastic news,alta,positiva,alta_positiva
I am over the moon and so thrilled right now,alta,positiva,alta_positiva
I am proud as punch of what we achieved today,alta,positiva,alta_positiva
I am full of beans and ready to celebrate all night,alta,positiva,alta_positiva
buzzing with positive energy and unstoppable hype,alta,positiva,alta_positiva
chuffed to bits and smiling from ear to ear,alta,positiva,alta_positiva
over the moon with sheer delight and enthusiasm,alta,positiva,alta_positiva
I feel on top of the world and bursting with happiness,alta,positiva,alta_positiva
absolutely thrilled and full of vibrant life,alta,positiva,alta_positiva
I am chill as anything relaxing with a good book,baja,positiva,baja_positiva
feeling right as rain and totally at ease,baja,positiva,baja_positiva
just ticking along nicely and enjoying the peace,baja,positiva,baja_positiva
cosy and content curled up on the sofa,baja,positiva,baja_positiva
my emotions are gentle balanced and deeply peaceful,baja,positiva,baja_positiva
chilled out and taking things slowly today,baja,positiva,baja_positiva
feeling easygoing warm and right as rain,baja,positiva,baja_positiva
at total peace with myself and ticking along nicely,baja,positiva,baja_positiva
quiet contentment and cosy stillness in my mind,baja,positiva,baja_positiva
breathing gently unburdened and so comfortable,baja,positiva,baja_positiva
